Form	75 73 104 79
W	111 59 151 80
-	143 59 160 80
9	156 59 182 80
Request 	405 61 487 75
for 	494 61 521 75
Taxpayer	528 61 619 75
Give 	815 68 852 76
Form 	853 68 888 76
to 	892 68 907 76
the	910 68 932 76
Identification 	316 77 448 89
Number 	456 77 533 89
and 	541 77 577 89
Certification	584 77 707 89
(	74 85 82 92
Rev. 	79 85 102 92
October 	104 85 147 92
2018	148 85 176 92
)	172 85 177 92
Department 	74 94 132 103
of 	134 94 144 103
the 	144 94 162 103
Treasury	163 94 204 103
requester	818 82 884 90
. 	885 82 888 90
Do 	892 82 912 90
not	917 82 939 90
send 	817 94 851 101
to 	854 94 869 100
the 	872 94 895 100
IRS	900 94 923 100
.	925 94 928 100
Internal 	75 103 111 109
Revenue 	113 103 155 109
Service	157 103 192 109
Go 	298 102 320 111
to 	323 102 336 111
www.irs.gov/FormW9 	338 102 471 111
for 	475 102 492 111
instructions 	496 102 568 111
and 	573 102 595 111
the 	599 102 618 111
latest 	623 102 657 111
information	660 102 731 111
.	731 102 733 111
1 	117 115 126 123
Name 	129 115 161 123
(	161 115 167 123
as 	166 115 178 123
shown 	181 115 214 123
on 	217 115 230 123
your 	233 115 255 123
income 	259 115 296 123
tax 	299 115 315 123
return	317 115 346 123
)	346 115 350 123
. 	350 115 352 123
Name 	355 115 387 123
is 	387 115 397 123
required 	400 115 442 123
on 	445 115 458 123
this 	461 115 480 123
line	483 115 500 123
; 	499 115 502 123
do 	505 115 519 123
not 	522 115 538 123
leave 	541 115 569 123
this 	571 115 589 123
line 	592 115 610 123
blank	611 115 640 123
.	640 115 644 123
George 	115 130 170 140
Savage	173 130 224 140
2 	116 142 126 151
Business 	128 142 176 151
name	179 142 207 151
/	205 142 211 151
disregarded 	211 142 271 151
entity 	274 142 302 151
name	305 142 333 151
, 	333 142 336 151
if 	339 142 346 151
different 	348 142 390 151
from 	393 142 416 151
above	419 142 451 151
3 	116 172 126 182
Check 	129 172 164 182
appropriate 	165 172 224 182
box 	227 172 246 182
for 	249 172 263 182
federal 	266 172 299 182
tax 	303 172 320 182
classification 	323 172 387 182
of 	390 172 401 182
the 	403 172 419 182
person 	422 172 457 182
whose 	459 172 494 182
name 	497 172 525 182
is 	528 172 536 182
entered 	538 172 578 182
on 	581 172 593 182
line 	595 172 615 182
1. 	618 172 625 182
Check 	628 172 663 182
only 	665 172 687 182
one 	689 172 710 182
of 	712 172 723 182
the	725 172 742 182
following 	127 182 177 190
seven 	179 182 208 190
boxes	211 182 243 190
.	242 182 247 190
4 	757 172 765 182
Exemptions 	769 172 830 182
(	832 172 835 182
codes 	837 172 867 182
apply 	870 172 898 182
only 	901 172 923 182
to	923 172 937 182
certain 	757 182 792 189
entities	794 182 832 189
, 	832 182 834 189
not 	838 182 854 189
individuals	857 182 911 189
; 	910 182 913 189
see	917 182 937 189
instructions 	756 191 816 199
on 	819 191 832 199
page 	835 191 861 199
3	862 191 869 199
)	867 191 872 199
:	871 191 876 199
☐	123 200 137 210
Individual	145 203 195 211
/	193 203 198 211
sole 	198 203 219 211
proprietor 	222 203 271 211
or	274 203 285 211
C 	327 202 340 210
Corporation	338 202 403 210
☐	308 197 322 208
☐	424 198 438 208
S 	440 202 453 210
Corporation	450 202 514 210
☐ 	540 198 554 208
Partnership	559 202 620 209
☑	656 198 670 208
Trust	674 203 708 208
/	698 203 707 208
estate	705 203 737 208
Exempt 	753 214 795 223
payee 	796 214 828 223
code 	830 214 855 223
(	856 214 860 223
if 	859 214 867 223
any	869 214 887 223
)	886 214 890 223
☐	123 227 138 237
T	704 228 717 235
Exemption 	756 242 810 252
from 	814 242 837 252
FATCA 	841 242 876 252
reporting	879 242 926 252
code 	756 255 791 264
(	780 255 791 264
if 	787 255 796 264
any	795 255 817 264
)	813 255 820 264
☐	123 280 138 290
single	144 212 181 220
-	176 212 179 220
member 	179 212 223 220
LLC	224 212 246 220
Limited 	145 230 184 238
liability 	184 230 221 238
company	224 230 271 238
. 	271 230 274 238
Enter 	276 230 303 238
the 	306 230 323 238
tax 	325 230 342 238
classification 	344 230 409 238
(	412 230 414 238
C	416 230 424 238
=	424 230 429 238
C 	428 230 439 238
corporation	441 230 499 238
, 	499 230 501 238
S	506 230 513 238
=	513 230 519 238
S 	520 230 527 238
corporation	531 230 588 238
, 	589 230 591 238
P	595 230 602 238
-	603 230 609 238
Partnership	609 230 666 238
) 	666 230 670 238
►	671 230 681 238
Note	144 242 173 252
: 	170 242 174 252
Check 	177 242 211 252
the 	213 242 230 252
appropriate 	232 242 290 252
box 	293 242 314 252
in 	316 242 324 252
the 	328 242 343 252
line 	345 242 364 252
above 	367 242 399 252
for 	401 242 415 252
the 	418 242 434 252
tax 	437 242 453 252
classification 	456 242 521 252
of 	524 242 534 252
the 	537 242 553 252
single	556 242 585 252
-	586 242 589 252
member 	590 242 632 252
owner	635 242 666 252
. 	667 242 669 252
Do 	675 242 691 252
not 	693 242 709 252
check	712 242 743 252
LLC 	145 251 167 259
if 	168 251 177 259
the 	178 251 195 259
LLC 	197 251 218 259
is 	221 251 229 259
classified 	232 251 279 259
as 	283 251 294 259
a 	297 251 303 259
single	306 251 336 259
-	337 251 340 259
member 	341 251 383 259
LLC 	385 251 406 259
that 	409 251 429 259
is 	431 251 440 259
disregarded 	442 251 503 259
from 	505 251 530 259
the 	533 251 549 259
owner 	551 251 584 259
unless 	586 251 618 259
the 	621 251 638 259
owner 	640 251 672 259
of 	675 251 685 259
the 	688 251 704 259
LLC 	706 251 728 259
is	728 251 742 259
another 	145 261 184 269
LLC 	187 261 208 269
that 	210 261 231 269
is 	233 261 242 269
not 	245 261 262 269
disregarded 	265 261 326 269
from 	328 261 352 269
the 	355 261 371 269
owner 	374 261 406 269
for 	408 261 422 269
U.S. 	425 261 446 269
federal 	450 261 483 269
tax 	488 261 503 269
purposes	506 261 553 269
. 	553 261 555 269
Otherwise	559 261 611 269
, 	611 261 613 269
a 	616 261 623 269
single	626 261 656 269
-	656 261 659 269
member 	660 261 702 269
LLC 	705 261 726 269
that	729 261 748 269
is 	144 269 158 278
disregarded 	155 269 218 277
from 	221 269 243 277
the 	246 269 262 277
owner 	265 269 297 277
should 	299 269 334 277
check 	337 269 367 277
the 	370 269 386 277
appropriate 	389 269 447 277
box 	450 269 470 277
for 	473 269 487 277
the 	489 269 506 277
tax 	508 269 524 277
classification 	527 269 592 277
of 	595 269 606 277
its 	609 269 620 277
owner	624 269 655 277
.	654 269 657 277
Other 	144 283 175 291
(	175 283 180 290
see 	180 283 198 290
instructions	201 283 259 290
) 	258 283 261 290
►	264 283 274 290
5 	117 295 126 303
Address 	128 295 171 303
(	173 295 178 303
number	178 295 217 303
, 	217 295 219 303
street	222 295 251 303
